Time, FSR1_Raw, FSR2_Raw, FSR3_Raw, FSR4_Raw
ACK_SYNC_LEFT
Time,FSR1_Raw,FSR2_Raw,FSR3_Raw,FSR4_Raw
22:58:25.000, 0, 0, 0, 0
22:58:25.050, 0, 0, 0, 0
22:58:25.100, 0, 0, 0, 0
22:58:25.150, 0, 0, 0, 0
22:58:25.201, 0, 0, 0, 0
22:58:25.250, 0, 0, 0, 0
22:58:25.300, 0, 0, 0, 0
22:58:25.350, 0, 0, 0, 0
22:58:25.400, 0, 0, 0, 0
22:58:25.450, 0, 0, 0, 0
22:58:25.500, 0, 0, 0, 0
22:58:25.550, 0, 0, 0, 0
22:58:25.600, 0, 0, 0, 0
22:58:25.650, 0, 0, 0, 0
22:58:25.700, 0, 0, 0, 0
22:58:25.750, 0, 0, 0, 0
22:58:25.800, 0, 0, 0, 0
22:58:25.850, 0, 0, 0, 0
22:58:25.900, 0, 0, 0, 0
22:58:25.950, 0, 0, 0, 0
22:58:26.000, 0, 0, 0, 0
22:58:26.050, 0, 0, 0, 0
22:58:26.100, 0, 0, 0, 0
22:58:26.150, 0, 0, 0, 0
22:58:26.200, 0, 0, 0, 0
22:58:26.250, 0, 0, 0, 0
22:58:26.300, 0, 0, 0, 0
22:58:26.350, 0, 0, 0, 0
22:58:26.400, 0, 0, 0, 0
22:58:26.450, 0, 0, 0, 0
22:58:26.500, 0, 0, 0, 0
22:58:26.550, 0, 0, 0, 0
22:58:26.600, 0, 0, 0, 0
22:58:26.650, 0, 0, 0, 0
22:58:26.700, 0, 0, 0, 0
22:58:26.750, 0, 0, 0, 0
22:58:26.800, 0, 0, 0, 0
22:58:26.850, 0, 0, 0, 0
22:58:26.900, 0, 0, 0, 0
22:58:26.950, 0, 0, 0, 0
22:58:27.000, 0, 0, 0, 0
22:58:27.050, 0, 0, 0, 0
22:58:27.100, 0, 0, 0, 0
22:58:27.150, 0, 0, 0, 0
22:58:27.200, 0, 0, 0, 0
22:58:27.250, 0, 0, 0, 0
22:58:27.300, 0, 0, 0, 0
22:58:27.350, 0, 0, 0, 0
22:58:27.400, 0, 0, 0, 0
22:58:27.450, 0, 0, 0, 0
22:58:27.500, 0, 0, 0, 0
22:58:27.550, 0, 0, 0, 0
22:58:27.600, 0, 0, 0, 0
22:58:27.650, 0, 0, 0, 0
22:58:27.700, 0, 0, 0, 0
22:58:27.750, 0, 0, 0, 0
22:58:27.800, 0, 0, 0, 0
22:58:27.850, 0, 0, 0, 0
22:58:27.900, 0, 0, 0, 0
22:58:27.950, 0, 0, 0, 0
22:58:28.000, 0, 0, 0, 0
22:58:28.050, 0, 0, 0, 0
22:58:28.100, 0, 0, 0, 0
22:58:28.150, 0, 0, 0, 0
22:58:28.200, 0, 0, 0, 0
22:58:28.250, 0, 0, 0, 0
22:58:28.300, 0, 0, 0, 0
22:58:28.350, 0, 0, 0, 0
22:58:28.400, 0, 0, 0, 0
22:58:28.450, 0, 0, 0, 0
22:58:28.500, 0, 0, 0, 0
22:58:28.550, 0, 0, 0, 0
22:58:28.600, 0, 0, 0, 0
22:58:28.650, 0, 0, 0, 0
22:58:28.700, 0, 0, 0, 0
22:58:28.750, 0, 0, 0, 0
22:58:28.800, 0, 0, 0, 0
22:58:28.850, 0, 0, 0, 0
22:58:28.900, 0, 0, 0, 0
22:58:28.950, 0, 0, 0, 0
22:58:29.000, 0, 0, 0, 0
22:58:29.050, 0, 0, 0, 0
22:58:29.100, 0, 0, 0, 0
22:58:29.150, 0, 0, 0, 0
22:58:29.200, 0, 0, 0, 0
22:58:29.250, 0, 0, 0, 0
22:58:29.300, 0, 0, 0, 0
22:58:29.350, 0, 0, 0, 0
22:58:29.400, 0, 0, 0, 0
22:58:29.450, 0, 0, 0, 0
22:58:29.500, 0, 0, 0, 0
22:58:29.550, 0, 0, 0, 0
22:58:29.600, 0, 0, 0, 0
22:58:29.650, 0, 0, 0, 0
22:58:29.700, 0, 0, 0, 0
22:58:29.750, 0, 0, 0, 0
22:58:29.800, 0, 0, 0, 0
22:58:29.850, 0, 0, 0, 0
22:58:29.900, 0, 0, 0, 0
22:58:29.950, 0, 0, 0, 0
22:58:30.000, 0, 0, 0, 0
22:58:30.050, 0, 0, 0, 0
22:58:30.100, 0, 0, 0, 0
22:58:30.150, 0, 0, 0, 0
22:58:30.200, 0, 0, 0, 0
22:58:30.250, 0, 0, 0, 0
22:58:30.300, 0, 0, 0, 0
22:58:30.350, 0, 0, 0, 0
22:58:30.400, 0, 0, 0, 0
22:58:30.450, 0, 0, 0, 0
22:58:30.500, 0, 0, 0, 0
22:58:30.550, 0, 0, 0, 0
22:58:30.600, 0, 0, 0, 0
22:58:30.650, 0, 0, 0, 0
22:58:30.700, 0, 0, 0, 0
22:58:30.750, 0, 0, 0, 0
22:58:30.800, 0, 0, 0, 0
22:58:30.850, 0, 0, 0, 0
22:58:30.900, 0, 0, 0, 0
22:58:30.950, 0, 0, 0, 0
22:58:31.000, 0, 0, 0, 0
22:58:31.050, 0, 0, 0, 0
22:58:31.100, 0, 0, 0, 0
22:58:31.150, 0, 0, 0, 0
22:58:31.200, 0, 0, 0, 0
22:58:31.250, 0, 0, 0, 0
22:58:31.300, 0, 0, 0, 0
22:58:31.350, 0, 0, 0, 0
22:58:31.400, 0, 0, 0, 0
22:58:31.450, 0, 0, 0, 0
22:58:31.500, 0, 0, 0, 0
22:58:31.550, 0, 0, 0, 0
22:58:31.600, 0, 0, 0, 0
22:58:31.650, 0, 0, 0, 0
22:58:31.700, 0, 0, 0, 0
22:58:31.750, 0, 0, 0, 0
22:58:31.800, 0, 0, 0, 0
22:58:31.850, 0, 0, 0, 0
22:58:31.900, 0, 0, 0, 0
22:58:31.950, 0, 0, 0, 0
22:58:32.000, 0, 0, 0, 0
22:58:32.050, 0, 0, 0, 0
22:58:32.100, 0, 0, 0, 0
22:58:32.150, 0, 0, 0, 0
22:58:32.200, 0, 0, 0, 0
22:58:32.250, 0, 0, 0, 0
22:58:32.300, 0, 0, 0, 0
22:58:32.350, 0, 0, 0, 0
22:58:32.400, 0, 0, 0, 0
22:58:32.450, 0, 0, 0, 0
22:58:32.500, 0, 0, 0, 0
22:58:32.550, 0, 0, 0, 0
22:58:32.600, 0, 0, 0, 0
22:58:32.650, 0, 0, 0, 0
22:58:32.700, 0, 0, 0, 0
22:58:32.750, 0, 0, 0, 0
22:58:32.800, 0, 0, 0, 0
22:58:32.850, 0, 0, 0, 0
22:58:32.900, 0, 0, 0, 0
22:58:32.950, 0, 0, 0, 0
22:58:33.000, 0, 0, 0, 0
22:58:33.050, 0, 0, 0, 0
22:58:33.100, 0, 0, 0, 0
22:58:33.150, 0, 0, 0, 0
22:58:33.200, 0, 0, 0, 0
22:58:33.250, 0, 0, 0, 0
22:58:33.300, 0, 0, 0, 0
22:58:33.350, 0, 0, 0, 0
22:58:33.400, 0, 0, 0, 0
22:58:33.450, 0, 0, 0, 0
22:58:33.500, 0, 0, 0, 0
22:58:33.550, 0, 0, 0, 0
22:58:33.600, 0, 0, 0, 0
22:58:33.650, 0, 0, 0, 0
22:58:33.700, 0, 0, 0, 0
22:58:33.750, 0, 0, 0, 0
22:58:33.800, 0, 0, 0, 0
22:58:33.850, 0, 0, 0, 0
22:58:33.900, 0, 0, 0, 0
22:58:33.950, 0, 0, 0, 0
22:58:34.000, 0, 0, 0, 0
22:58:34.050, 0, 0, 0, 0
22:58:34.100, 0, 0, 0, 0
22:58:34.150, 0, 0, 0, 0
22:58:34.200, 0, 0, 0, 0
22:58:34.250, 0, 0, 0, 0
22:58:34.300, 0, 0, 0, 0
22:58:34.350, 0, 0, 0, 0
22:58:34.400, 0, 0, 0, 0
22:58:34.450, 0, 0, 0, 0
22:58:34.500, 0, 0, 0, 0
22:58:34.550, 0, 0, 0, 0
22:58:34.600, 0, 0, 0, 0
22:58:34.650, 0, 0, 0, 0
22:58:34.700, 0, 0, 0, 0
22:58:34.750, 0, 0, 0, 0
22:58:34.800, 0, 0, 0, 0
22:58:34.850, 0, 0, 0, 0
22:58:34.900, 0, 0, 0, 0
22:58:34.950, 0, 0, 0, 0
22:58:35.000, 0, 0, 0, 0
22:58:35.050, 0, 0, 0, 0
22:58:35.100, 0, 0, 0, 0
22:58:35.150, 0, 0, 0, 0
22:58:35.200, 0, 0, 0, 0
22:58:35.250, 0, 0, 0, 0
22:58:35.300, 0, 0, 0, 0
22:58:35.350, 0, 0, 0, 0
22:58:35.400, 0, 0, 0, 0
22:58:35.450, 0, 0, 0, 0
22:58:35.500, 0, 0, 0, 0
22:58:35.550, 0, 0, 0, 0
22:58:35.600, 0, 0, 0, 0
22:58:35.650, 0, 0, 0, 0
22:58:35.700, 0, 0, 0, 0
22:58:35.750, 0, 0, 0, 0
22:58:35.800, 0, 0, 0, 0
22:58:35.850, 0, 0, 0, 0
22:58:35.900, 0, 0, 0, 0
22:58:35.950, 0, 0, 0, 0
22:58:36.000, 0, 0, 0, 0
22:58:36.050, 0, 0, 0, 0
22:58:36.100, 0, 0, 0, 0
22:58:36.150, 0, 0, 0, 0
22:58:36.200, 0, 0, 0, 0
22:58:36.250, 0, 0, 0, 0
22:58:36.300, 0, 0, 0, 0
22:58:36.350, 0, 0, 0, 0
22:58:36.400, 0, 0, 0, 0
22:58:36.450, 0, 0, 0, 0
22:58:36.500, 0, 0, 0, 0
22:58:36.550, 0, 0, 0, 0
22:58:36.600, 0, 0, 0, 0
22:58:36.650, 0, 0, 0, 0
22:58:36.700, 0, 0, 0, 0
22:58:36.750, 0, 0, 0, 0
22:58:36.800, 0, 0, 0, 0
22:58:36.850, 0, 0, 0, 0
22:58:36.900, 0, 0, 0, 0
22:58:36.950, 0, 0, 0, 0
22:58:37.000, 0, 0, 0, 0
22:58:37.050, 0, 0, 0, 0
22:58:37.100, 0, 0, 0, 0
22:58:37.150, 0, 0, 0, 0
22:58:37.200, 0, 0, 0, 0
22:58:37.250, 0, 0, 0, 0
22:58:37.300, 0, 0, 0, 0
22:58:37.350, 0, 0, 0, 0
22:58:37.400, 0, 0, 0, 0
22:58:37.450, 0, 0, 0, 0
22:58:37.500, 0, 0, 0, 0
22:58:37.550, 0, 0, 0, 0
22:58:37.600, 0, 0, 0, 0
22:58:37.650, 0, 0, 0, 0
22:58:37.700, 0, 0, 0, 0
22:58:37.750, 0, 0, 0, 0
22:58:37.800, 0, 0, 0, 0
22:58:37.850, 0, 0, 0, 0
