Time, FSR1_Raw, FSR2_Raw, FSR3_Raw, FSR4_Raw
ACK_SYNC_RIGHT
Time,FSR1_Raw,FSR2_Raw,FSR3_Raw,FSR4_Raw
22:58:35.000, 0, 0, 0, 0
22:58:35.050, 0, 0, 0, 0
22:58:35.100, 0, 0, 0, 0
22:58:35.150, 0, 0, 0, 0
22:58:35.200, 0, 0, 0, 0
22:58:35.250, 0, 0, 0, 0
22:58:35.300, 0, 0, 0, 0
22:58:35.350, 0, 0, 0, 0
22:58:35.400, 0, 0, 0, 0
22:58:35.450, 0, 0, 0, 0
22:58:35.500, 0, 0, 0, 0
22:58:35.550, 0, 0, 0, 0
22:58:35.600, 0, 0, 0, 0
22:58:35.650, 0, 0, 0, 0
22:58:35.700, 0, 0, 0, 0
22:58:35.750, 0, 0, 0, 0
22:58:35.800, 0, 0, 0, 0
22:58:35.850, 0, 0, 0, 0
22:58:35.900, 0, 0, 0, 0
22:58:35.950, 0, 0, 0, 0
22:58:36.000, 0, 0, 0, 0
22:58:36.050, 0, 0, 0, 0
22:58:36.100, 0, 0, 0, 0
22:58:36.150, 0, 0, 0, 0
22:58:36.200, 0, 0, 0, 0
22:58:36.250, 0, 0, 0, 0
22:58:36.300, 0, 0, 0, 0
22:58:36.350, 0, 0, 0, 0
22:58:36.400, 0, 0, 0, 0
22:58:36.450, 0, 0, 0, 0
22:58:36.500, 0, 0, 0, 0
22:58:36.550, 0, 0, 0, 0
22:58:36.600, 0, 0, 0, 0
22:58:36.650, 0, 0, 0, 0
22:58:36.700, 0, 0, 0, 0
22:58:36.750, 0, 0, 0, 0
22:58:36.800, 0, 0, 0, 0
22:58:36.850, 0, 0, 0, 0
22:58:36.900, 0, 0, 0, 0
22:58:36.950, 0, 0, 0, 0
22:58:37.000, 0, 0, 0, 0
22:58:37.050, 0, 0, 0, 0
22:58:37.100, 0, 0, 0, 0
22:58:37.150, 0, 0, 0, 0
22:58:37.200, 0, 0, 0, 0
22:58:37.250, 0, 0, 0, 0
22:58:37.300, 0, 0, 0, 0
22:58:37.350, 0, 0, 0, 0
22:58:37.400, 0, 0, 0, 0
22:58:37.450, 0, 0, 0, 0
22:58:37.500, 0, 0, 0, 0
22:58:37.550, 0, 0, 0, 0
22:58:37.600, 0, 0, 0, 0
22:58:37.650, 0, 0, 0, 0
22:58:37.700, 0, 0, 0, 0
22:58:37.750, 0, 0, 0, 0
22:58:37.800, 0, 0, 0, 0
22:58:37.850, 0, 0, 0, 0
22:58:37.900, 0, 0, 0, 0
22:58:37.950, 0, 0, 0, 0
22:58:38.000, 0, 0, 0, 0
22:58:38.050, 0, 0, 0, 0
22:58:38.100, 0, 0, 0, 0
22:58:38.150, 0, 0, 0, 0
22:58:38.200, 0, 0, 0, 0
22:58:38.250, 0, 0, 0, 0
22:58:38.300, 0, 0, 0, 0
22:58:38.350, 0, 0, 0, 0
22:58:38.400, 0, 0, 0, 0
22:58:38.450, 0, 0, 0, 0
22:58:38.500, 0, 0, 0, 0
22:58:38.550, 0, 0, 0, 0
22:58:38.600, 0, 0, 0, 0
22:58:38.650, 0, 0, 0, 0
22:58:38.700, 0, 0, 0, 0
22:58:38.750, 0, 0, 0, 0
22:58:38.800, 0, 0, 0, 0
22:58:38.850, 0, 0, 0, 0
22:58:38.900, 0, 0, 0, 0
22:58:38.950, 0, 0, 0, 0
22:58:39.000, 0, 0, 0, 0
22:58:39.050, 0, 0, 0, 0
22:58:39.100, 0, 0, 0, 0
22:58:39.150, 0, 0, 0, 0
22:58:39.200, 0, 0, 0, 0
22:58:39.250, 0, 0, 0, 0
22:58:39.300, 0, 0, 0, 0
22:58:39.350, 0, 0, 0, 0
22:58:39.400, 0, 0, 0, 0
22:58:39.450, 0, 0, 0, 0
22:58:39.500, 0, 0, 0, 0
