Time, Scale1, Analog1, Analog2, Analog3, Analog4
ACK_SYNC_MULTI
Taring scales... Remove any weight.
Tare complete.
Time,Scale1,Scale2,Analog1,Analog2,Analog3,Analog4,AccelX,AccelY,AccelZ
16:54:26.191, 590267, 0, 2182, 0, 2151, 11160, 296, 17024
16:54:26.293, 592989, 0, 2185, 0, 2157, 12492, -1200, 14976
16:54:26.394, 585305, 0, 2192, 0, 2158, 13792, -1084, 14292
16:54:26.495, 559811, 0, 2187, 0, 2160, 14400, -1984, 10668
16:54:26.596, 544916, 0, 2185, 0, 2171, 14124, -2384, 9236
16:54:26.697, 539920, 0, 2187, 0, 2180, 14880, -1000, 9344
16:54:26.798, 533851, 0, 2192, 0, 2175, 15428, -832, 9264
16:54:26.899, 534088, 0, 2192, 0, 2168, 15936, -796, 9644
16:54:27.000, 535464, 0, 2193, 0, 2162, 15728, -1676, 8556
16:54:27.101, 532328, 0, 2192, 0, 2169, 15928, -1208, 8528
16:54:27.202, 529196, 0, 2192, 0, 2163, 15736, -992, 9492
16:54:27.303, 530289, 0, 2194, 0, 2170, 15924, -1148, 9352
16:54:27.404, 532923, 0, 2194, 0, 2167, 15524, -1552, 8852
16:54:27.505, 532956, 0, 2193, 0, 2167, 16072, -1760, 8596
16:54:27.606, 531457, 0, 2193, 0, 2171, 16976, -1624, 8416
16:54:27.707, 530936, 0, 2192, 0, 2178, 16620, -468, 8772
16:54:27.808, 527850, 0, 2197, 0, 2171, 15096, -1720, 9024
16:54:27.909, 527572, 0, 2198, 0, 2187, 14908, -1280, 7768
16:54:28.010, 531616, 0, 2196, 0, 2190, 15012, -1176, 7288
16:54:28.111, 533364, 0, 2201, 0, 2178, 17036, -1764, 8544
16:54:28.212, 532391, 0, 2206, 0, 2181, 16536, -1260, 8424
16:54:28.313, 527061, 0, 2197, 0, 2191, 15768, -1908, 7108
16:54:28.414, 526773, 0, 2194, 0, 2191, 16336, -1032, 7740
16:54:28.515, 528651, 0, 2203, 0, 2189, 16356, -2336, 7188
